이슈 유형,요약,설명,에픽 이름,에픽 링크,최초 추정치,상태,우선순위,레이블
에픽,파운데이션 셋업,"Next.js 16 + TS + Tailwind v4 + shadcn 글래스모피즘 스캐폴드와 Apple 디자인 토큰 세팅.",PROP-EPIC-1,,3h,완료,보통,foundation
작업,"프로젝트 스캐폴드 (Next.js 16, TS, Tailwind v4, shadcn/ui)","create-next-app(App Router) 셋업, shadcn primitives 설치, tsconfig 경로 별칭 구성.",,PROP-EPIC-1,30m,완료,보통,foundation
작업,SiteHeader + 글래스모피즘 디자인 시스템 구축,".glass / .glass-strong / .glass-tint 유틸리티, hero 그라데이션, sticky 헤더.",,PROP-EPIC-1,1h,완료,보통,foundation
작업,Apple 시스템 컬러 팔레트 + light/dark 토큰,"--apple-blue/green/indigo/orange/pink/purple/red/teal/yellow/gray 를 light + dark :root 블록에 정의.",,PROP-EPIC-1,30m,완료,보통,design
작업,AddressForm + 프리셋 칩,"제어형 입력, 프리셋 칩(Chermside / Rocklea), submit 핸들러를 geocode → fetch-overlays 파이프라인에 연결.",,PROP-EPIC-1,1h,완료,보통,foundation
에픽,초기 5개 모듈 + ArcGIS 파이프라인,"Flooding / Bushfire / Heritage / Easements(HV) / Zoning + 병렬 fetch + DB 영속화.",PROP-EPIC-2,,5h,완료,보통,modules
작업,ArcGIS REST 헬퍼 (lib/arcgis.ts) 구현,"queryArcGIS(): point + envelope 쿼리, GeoJSON 파싱, 에러 클래스, EPSG:28356 → EPSG:4326 재투영.",,PROP-EPIC-2,30m,완료,보통,modules
작업,Flooding 모듈 (BCC + QLD historic),"Overall risk + Feb 2022 + Jan 2011 historic event extents.",,PROP-EPIC-2,1h,완료,보통,modules
작업,Bushfire 모듈,"QLD State Hazard Mapping — OVL2_DESC 기반 위험도 분류.",,PROP-EPIC-2,30m,완료,보통,modules
작업,Heritage & Character 모듈,"State + local + character(pre-1947) 3-layer 결합.",,PROP-EPIC-2,1h,완료,보통,modules
작업,Easements 모듈 v1 (high-voltage only),"BCC Major electricity infrastructure overlay 단일 소스 + title search 면책 문구.",,PROP-EPIC-2,30m,완료,보통,modules
작업,Zoning 모듈,"City Plan zone code / precinct / LVL1 family 분류.",,PROP-EPIC-2,30m,완료,보통,modules
작업,Pipeline 병렬 fetch 구현,"Promise.all 로 5개 모듈 동시 호출 후 council_data 테이블 영속화.",,PROP-EPIC-2,30m,완료,보통,modules
작업,RiskLevel union + 모듈별 classifier,"none / low / medium / high 분류 체계 + 모듈별 매핑 함수.",,PROP-EPIC-2,30m,완료,보통,modules
에픽,Narrative 엔진 + 모듈 디스플레이,"결정론적 narrative stub과 모듈별 웹 디스플레이.",PROP-EPIC-3,,3.5h,완료,보통,narrative
작업,결정론적 narrative stub (모듈별),"renderStub* 함수들이 summary / detail / questions_to_ask / sources 반환 — LLM 미호출.",,PROP-EPIC-3,1h,완료,보통,narrative
작업,module-meta 레지스트리,"모든 모듈의 icons / tints / thingsToKnow / legend / sourceLabel 통합 정의.",,PROP-EPIC-3,1h,완료,보통,narrative
작업,ModuleSection 웹 컴포넌트,"모듈별 카드 + map + narrative + ModuleFacts switch 렌더.",,PROP-EPIC-3,1h,완료,보통,narrative
작업,StatusPill + 출처 인용 표시,"Develo 스타일 'CONSIDERATIONS IDENTIFIED' pill + source URL 인용.",,PROP-EPIC-3,30m,완료,보통,narrative
에픽,Report 페이지 + A4 PDF,"/report/[reportId] 라우트 + @react-pdf/renderer A4 export.",PROP-EPIC-4,,5h,완료,보통,report
작업,/report/[reportId] 페이지 레이아웃,"loadReportPayload + 모듈 순서대로 렌더 + paywall 통합.",,PROP-EPIC-4,1h,완료,보통,report
작업,@react-pdf/renderer A4 셋업,"폰트 / 스타일 / 페이지 primitives / MODULE_ORDER 배열.",,PROP-EPIC-4,1.5h,완료,보통,report
작업,Cover page + 모듈별 페이지 + 디스클레이머 푸터,"브랜드 커버, 요약 통계, 모듈 페이지, 푸터 면책 문구.",,PROP-EPIC-4,1.5h,완료,보통,report
작업,PDF 정적 지도 렌더,"staticmaps + sharp 파이프라인으로 각 모듈 지도 PNG 생성.",,PROP-EPIC-4,1h,완료,보통,report
에픽,Develo 참조 PDF 매칭,"Develo의 비주얼 구조 / 데이터 소스를 우리 리포트와 정렬.",PROP-EPIC-5,,4h,완료,보통,develo-parity
작업,Develo Tingalpa 리포트 분석,"참조 PDF 읽고 구조 / 소스 / 레전드 / risk 분류 체계 파악.",,PROP-EPIC-5,30m,완료,보통,develo-parity
작업,Property polygon 하이라이트 (실제 lot cadastre),"zone polygon 대신 BCC property_boundaries_parcel 사용 — 실제 42.6×21.7m lot 시각화.",,PROP-EPIC-5,1h,완료,보통,develo-parity
작업,Mapbox Satellite Streets basemap 전환,"MapLibre + Mapbox 토큰 + 토큰 없을 때 Esri fallback.",,PROP-EPIC-5,30m,완료,보통,develo-parity
작업,지도별 부동 레전드 카드,"오른쪽 아래 glass 카드에 색상 swatch + 라벨 표시.",,PROP-EPIC-5,30m,완료,보통,develo-parity
작업,Zoom 타이트닝 + polygon 단순화,"~115m half-width 줌 + maxAllowableOffset 0.00003(3m) + line-join round 적용.",,PROP-EPIC-5,30m,완료,보통,develo-parity
작업,Develo와 정렬된 polygon 팔레트,"모듈별 색상 매칭 (네이비 flood / 오렌지 overland / 시안 storm / 마젠타 heritage / 레드 bushfire 등).",,PROP-EPIC-5,1h,완료,보통,develo-parity
에픽,Supabase → Vercel Postgres (Neon) 마이그레이션,"영속 계층을 Neon HTTP-fetch 드라이버로 전환.",PROP-EPIC-6,,2h,완료,보통,infra
작업,@neondatabase/serverless 도입,"Supabase 클라이언트 교체 + 모든 DB 호출 리팩토링.",,PROP-EPIC-6,1h,완료,보통,infra
작업,scripts/migrate.ts (multi-statement 우회),"schema.sql 을 ';' 로 split — Neon prepared statement는 다중 명령어 미지원.",,PROP-EPIC-6,30m,완료,보통,infra
작업,스키마 재작성 + DATABASE_URL env 와이어링,"addresses / council_data / reports + paid_at + stripe_session_id 컬럼 추가; .env.local fallback.",,PROP-EPIC-6,30m,완료,보통,infra
에픽,Stripe Checkout 페이월 ($29 AUD),"Freemium 게이팅: Flooding 무료 미리보기 + 나머지 paid.",PROP-EPIC-7,,3h,완료,보통,paywall
작업,lib/stripe.ts + /api/checkout/create-session,"서버 전용 Stripe 클라이언트 + $29 AUD Checkout Session 생성.",,PROP-EPIC-7,1h,완료,보통,paywall
작업,Webhook + GET polling fallback,"/api/checkout/webhook signature 검증 + 폴링을 failsafe 로 추가.",,PROP-EPIC-7,1h,완료,보통,paywall
작업,UnlockButton (Apple 그라데이션 CTA),"Checkout Session 으로 리디렉트 하는 클라이언트 컴포넌트.",,PROP-EPIC-7,30m,완료,보통,paywall
작업,Free preview 게이팅 (Flooding only),"reports.paid_at 이 null 일 때 Flooding 외 모듈은 블러 처리.",,PROP-EPIC-7,30m,완료,보통,paywall
에픽,지오코딩,"Google + Nominatim 프로바이더 추상화.",PROP-EPIC-8,,1.5h,완료,보통,geocoding
작업,Google Maps + Places Autocomplete,"서버사이드 geocode + 클라이언트사이드 Places suggestion.",,PROP-EPIC-8,30m,완료,보통,geocoding
작업,Nominatim fallback 프로바이더,"Google rate-limit / 장애 시 fallback 추상화.",,PROP-EPIC-8,30m,완료,보통,geocoding
작업,HTTP referrer restriction 디버깅,"서버사이드 호출은 Referer 미전송 — Application restrictions 를 None 으로 설정.",,PROP-EPIC-8,30m,완료,보통,geocoding
에픽,Sprint 1 — Noise + Flood Planning + Schools,"3개 모듈 추가로 총 11개 모듈 완성.",PROP-EPIC-9,,3h,완료,보통,sprint-1
작업,Noise 모듈 (Transport + ANEF),"BCC Transport noise 회랑 + Aviation ANEF overlay + AS2021 밴드 분류.",,PROP-EPIC-9,1h,완료,보통,sprint-1
작업,Flood Planning 모듈 (River + Creek waterway),"Brisbane River + Creek/waterway flood planning area overlay 통합.",,PROP-EPIC-9,30m,완료,보통,sprint-1
작업,School Catchments 모듈 (QLD DET),"State school 학구를 CentreCode 로 그룹핑 → SchoolRow + yearLevels.",,PROP-EPIC-9,30m,완료,보통,sprint-1
작업,3개 신규 모듈을 파이프라인 / extractor / PDF / display 에 와이어링,"db.ts Module union 11개로 확장, pipeline.ts Promise.all, module-meta, overlays.ts, anthropic.ts, ModuleSection, report-pdf.",,PROP-EPIC-9,1h,완료,보통,sprint-1
에픽,랜딩 리프레시 + QSpatial easement parity,"prototype 카피 제거, pricing 추가, 11모듈 marquee, 두 번째 easement 소스 추가.",PROP-EPIC-10,,2h,완료,보통,polish
작업,랜딩 페이지 카피 리프레시,"Prototype / Claude / Supabase / Out-of-scope 카드 제거. 11개 모듈 노출.",,PROP-EPIC-10,30m,완료,보통,polish
작업,11모듈 marquee 애니메이션,"CSS keyframes + fade mask + hover-pause + prefers-reduced-motion 반영.",,PROP-EPIC-10,30m,완료,보통,polish
작업,Pricing 섹션 ($29 AUD + Free preview),"2-카드 레이아웃 (gradient paid 카드 + bulk-pricing mailto).",,PROP-EPIC-10,30m,완료,보통,polish
작업,QSpatial DCDB easement parity,"PlanningCadastre layer 9 (Easement Parcels) 추가 — Develo와 동일 소스. Polygon classify + 모듈별 색상.",,PROP-EPIC-10,30m,완료,보통,polish
에픽,버그 픽스 & 폴리시,"회귀 + 인프라 일회성 작업.",PROP-EPIC-11,,1.5h,완료,보통,bugfix
작업,Legend refactor 후 지도 blank 회귀,"Container ref 가 sized div 로 이동 — MapLibre canvas 마운트가 깨지던 문제.",,PROP-EPIC-11,30m,완료,보통,bugfix
작업,Property polygon = zone 영역 회귀,"Zoning_opendata polygon(358×352m zone)을 쓰던 걸 BCC parcel layer 로 교정.",,PROP-EPIC-11,15m,완료,보통,bugfix
작업,Historic 홍수 layer point miss,"Geocoded 도로 중심점이 ~50m 빗나가서 누락 — bufferDegrees 를 0.00045 로 bump.",,PROP-EPIC-11,15m,완료,보통,bugfix
작업,Neon multi-statement prepared query 에러,"'cannot insert multiple commands into a prepared statement' — split schema 러너로 우회.",,PROP-EPIC-11,15m,완료,보통,bugfix
작업,Mapbox 계정 셋업 + 토큰 + env,"카드 등록 + 토큰 발급 + Vercel env Sensitive 플래그 디버깅.",,PROP-EPIC-11,30m,완료,보통,infra
에픽,배포 & 인프라 운영,"Vercel 배포 파이프라인 + env 관리 + 문서화.",PROP-EPIC-12,,2h,완료,보통,infra
작업,Vercel 프로젝트 + GitHub 자동 배포,"Vercel 프로젝트 생성, GitHub 리포 연결, main push 시 자동 배포 트리거.",,PROP-EPIC-12,30m,완료,보통,infra
작업,env Sensitive 플래그 디버깅,"vercel env pull 이 DATABASE_URL 을 빈 값으로 가져오던 이슈 — Sensitive 플래그 처리 후 수동 paste.",,PROP-EPIC-12,30m,완료,보통,infra
작업,TalkFile_TASKS.md / TalkFile_CLAUDE.md 작성 및 유지,"프로젝트 스코프 / 모듈 우선순위 / 디스클레이머 문구 / 데이터 소스 출처 정리.",,PROP-EPIC-12,30m,완료,보통,docs
작업,Production smoke test,"Tingalpa / Rocklea / Chermside 3개 주소로 11개 모듈 모두 결과 반환 확인.",,PROP-EPIC-12,30m,완료,보통,qa
에픽,QA & 데이터 검증,"Develo 참조 결과와 직접 비교 + 회귀 테스트.",PROP-EPIC-13,,1.5h,완료,보통,qa
작업,Tingalpa (61 Tingalpa St) Develo 결과 비교,"5개 메인 모듈 + Vegetation 결과를 Develo PDF와 cross-check.",,PROP-EPIC-13,1h,완료,보통,qa
작업,Rocklea (250 Sherwood Rd) historic flood 검증,"Feb 2022 + Jan 2011 historic event extent 가 lot 안에 들어오는지 확인.",,PROP-EPIC-13,15m,완료,보통,qa
작업,Easements 모듈 positive control,"BSP108564 centroid 좌표로 detection 강제 hit 확인 (verify-easements.ts).",,PROP-EPIC-13,15m,완료,보통,qa
에픽,Sprint 2 — Slope / Acid Sulfate / Coastal,"QSpatial DEM 기울기 + Acid Sulfate Soils + Bayside 해수면 시뮬레이션.",PROP-EPIC-14,,3h,할 일,보통,sprint-2
작업,Slope 모듈 (QSpatial DEM),"DEM 기반 lot 평균/최대 기울기 추출 → 위험도 분류 (10% / 20%+).",,PROP-EPIC-14,1h,할 일,보통,sprint-2
작업,Acid Sulfate Soils 모듈 (QSpatial Environment),"건축 시 토양 산성도 영향 — coastal lowland 의 잠재 산성 황산토양 layer.",,PROP-EPIC-14,1h,할 일,보통,sprint-2
작업,Bayside 해수면 상승 시뮬레이션,"BCC Coastal Hazard overlay + projected sea level rise scenarios.",,PROP-EPIC-14,1h,할 일,보통,sprint-2
에픽,Sprint 3 — Connectivity & 거리 메트릭,"대중교통 + 거리 + NBN 속도.",PROP-EPIC-15,,3h,할 일,보통,sprint-3
작업,Translink 정류장 + walkability 점수,"500m / 1km 반경 내 버스/기차 정류장 카운트 + walk score.",,PROP-EPIC-15,1h,할 일,보통,sprint-3
작업,거리 메트릭 (CBD / 병원 / 슈퍼 / 해변),"OSM POI + Mapbox Directions 로 driving distance + time.",,PROP-EPIC-15,1h,할 일,보통,sprint-3
작업,NBN 속도 룩업,"NBN Co API 로 주소별 기술(FTTP/FTTC/HFC) + 최대 속도.",,PROP-EPIC-15,1h,할 일,보통,sprint-3
에픽,Sprint 4 — Demographics & 위험 통계,"인구 / 기상 / 범죄 통계.",PROP-EPIC-16,,3h,할 일,보통,sprint-4
작업,Census 2021 SA1 demographics,"ABS Census 2021 SA1 단위 인구/소득/연령 분포.",,PROP-EPIC-16,1h,할 일,보통,sprint-4
작업,BoM 심각 기상 이력,"폭풍 / 우박 / 사이클론 historic event (지난 30년).",,PROP-EPIC-16,1h,할 일,보통,sprint-4
작업,QPS 범죄 통계 (suburb),"Queensland Police Service suburb-level offence rates.",,PROP-EPIC-16,1h,할 일,보통,sprint-4
에픽,Production Launch 준비,"라이브 모드 전환 + 도메인 + 이메일 전달 + 보안.",PROP-EPIC-17,,5h,할 일,보통,launch
작업,ABN 등록 후 Stripe live 모드 활성화,"테스트키 → 라이브키 교체 + webhook endpoint 재설정 + 첫 결제 모니터링.",,PROP-EPIC-17,30m,할 일,보통,launch
작업,PDF 이메일 전송 (Resend/Postmark),"결제 완료 시 PDF 첨부 이메일 자동 발송 + transactional 템플릿.",,PROP-EPIC-17,1.5h,할 일,보통,launch
작업,커스텀 도메인 연결,"*.vercel.app → propai.au (또는 본인 도메인) DNS + SSL.",,PROP-EPIC-17,30m,할 일,보통,launch
작업,SEO 메타 (Open Graph + favicon + sitemap),"OG 이미지 / favicon set / robots.txt / sitemap.xml.",,PROP-EPIC-17,30m,할 일,보통,launch
작업,404 / 500 에러 페이지,"브랜드 일관성 있는 not-found.tsx + error.tsx.",,PROP-EPIC-17,30m,할 일,보통,launch
작업,Rate limiting (geocode 남용 방지),"IP 기반 throttle + Upstash Redis 또는 Vercel KV.",,PROP-EPIC-17,1h,할 일,보통,launch
작업,분석 도구 (Vercel Analytics + Plausible),"페이지뷰 / 결제 전환율 / 모듈별 클릭 트래킹.",,PROP-EPIC-17,15m,할 일,보통,launch
작업,Bot 보호 (Cloudflare Turnstile),"주소 입력 폼에 invisible captcha — geocode 비용 방어.",,PROP-EPIC-17,30m,할 일,보통,launch
에픽,UX 폴리시,"로딩/에러/빈 상태 + 모바일 / 다크모드 / Lighthouse.",PROP-EPIC-18,,2h,할 일,보통,polish
작업,Loading skeleton (모듈별 fetch 중),"모듈 카드별 shimmer skeleton — 5초 fetch 동안 시각적 피드백.",,PROP-EPIC-18,30m,할 일,보통,polish
작업,Empty state (zero overlay 결과),"NO CONSIDERATIONS 일 때 일러스트 + 안심 문구 (현재 status pill 뿐).",,PROP-EPIC-18,15m,할 일,보통,polish
작업,API 실패 시 toast + retry,"ArcGIS 5xx / timeout 시 사용자 친화적 toast + 재시도 버튼.",,PROP-EPIC-18,30m,할 일,보통,polish
작업,모바일 반응형 회귀,"iPhone / Android 가로 / 세로 + 작은 화면에서 marquee / pricing / 지도 회귀.",,PROP-EPIC-18,30m,할 일,보통,polish
작업,Lighthouse 90+ 목표,"Performance / Accessibility / SEO / Best Practices 각 90+ 달성.",,PROP-EPIC-18,30m,할 일,보통,polish
