Issue Type,Summary,Description,Epic Name,Epic Link,Original Estimate,Status,Priority,Labels
Epic,Foundation setup,"Next.js 16 + TS + Tailwind v4 + shadcn glassmorphism scaffold and Apple design tokens.",PROP-EPIC-1,,3h,Done,Medium,foundation
Task,"Project scaffold (Next.js 16, TS, Tailwind v4, shadcn/ui)","npx create-next-app with App Router, install shadcn primitives, configure tsconfig paths.",,PROP-EPIC-1,30m,Done,Medium,foundation
Task,SiteHeader + glassmorphism design system,"Frosted-glass utilities (.glass, .glass-strong, .glass-tint), hero gradient, sticky header.",,PROP-EPIC-1,1h,Done,Medium,foundation
Task,Apple system color palette + light/dark tokens,"--apple-blue/green/indigo/orange/pink/purple/red/teal/yellow/gray under light + dark :root blocks.",,PROP-EPIC-1,30m,Done,Medium,design
Task,AddressForm + preset chips,"Controlled input, preset chips (Chermside / Rocklea), submit handler wired to geocode → fetch-overlays.",,PROP-EPIC-1,1h,Done,Medium,foundation
Epic,Initial 5 modules + ArcGIS pipeline,"Flooding, Bushfire, Heritage, Easements (HV), Zoning + parallel fetch + persistence.",PROP-EPIC-2,,5h,Done,Medium,modules
Task,ArcGIS REST helper (lib/arcgis.ts),"queryArcGIS(): point + envelope, GeoJSON parsing, error class, reproject EPSG:28356 → EPSG:4326.",,PROP-EPIC-2,30m,Done,Medium,modules
Task,Flooding module (BCC + QLD historic),"Overall risk + Feb 2022 + Jan 2011 historic event extents.",,PROP-EPIC-2,1h,Done,Medium,modules
Task,Bushfire module,"QLD State Hazard Mapping — OVL2_DESC classification.",,PROP-EPIC-2,30m,Done,Medium,modules
Task,Heritage & Character module,"State + local + character (pre-1947) layers from BCC.",,PROP-EPIC-2,1h,Done,Medium,modules
Task,Easements module v1 (high-voltage only),"BCC Major electricity infrastructure overlay only — title search disclaimer.",,PROP-EPIC-2,30m,Done,Medium,modules
Task,Zoning module,"City Plan zone code / precinct / LVL1 family classification.",,PROP-EPIC-2,30m,Done,Medium,modules
Task,Pipeline + parallel fetch,"Promise.all over 5 modules → council_data persistence.",,PROP-EPIC-2,30m,Done,Medium,modules
Task,RiskLevel union + per-module classifier,"none / low / medium / high taxonomy + per-module mapping.",,PROP-EPIC-2,30m,Done,Medium,modules
Epic,Narrative engine + module display,"Deterministic narrative stubs and per-module web display.",PROP-EPIC-3,,3.5h,Done,Medium,narrative
Task,Deterministic narrative stubs per module,"renderStub* functions returning summary / detail / questions_to_ask / sources — no LLM call.",,PROP-EPIC-3,1h,Done,Medium,narrative
Task,module-meta registry,"Icons, tints, thingsToKnow, legend rows, sourceLabel for every module.",,PROP-EPIC-3,1h,Done,Medium,narrative
Task,ModuleSection web component,"Per-module card with map + narrative + ModuleFacts switch.",,PROP-EPIC-3,1h,Done,Medium,narrative
Task,StatusPill + citations,"Develo-style ""CONSIDERATIONS IDENTIFIED"" pill + source citations.",,PROP-EPIC-3,30m,Done,Medium,narrative
Epic,Report page + A4 PDF,"/report/[reportId] route + @react-pdf/renderer A4 export.",PROP-EPIC-4,,5h,Done,Medium,report
Task,/report/[reportId] page layout,"loadReportPayload + module ordered render + paywall integration.",,PROP-EPIC-4,1h,Done,Medium,report
Task,@react-pdf/renderer A4 setup,"Fonts, styles, page primitives, MODULE_ORDER array.",,PROP-EPIC-4,1.5h,Done,Medium,report
Task,Cover page + per-module pages + disclaimer footer,"Branded cover, summary stats, module pages, footer disclaimer.",,PROP-EPIC-4,1.5h,Done,Medium,report
Task,PDF static map renders,"staticmaps + sharp pipeline for each module's map PNG.",,PROP-EPIC-4,1h,Done,Medium,report
Epic,Develo reference matching,"Match Develo visual structure and data sources.",PROP-EPIC-5,,4h,Done,Medium,develo-parity
Task,Develo Tingalpa PDF analysis,"Read reference report — structure / sources / legend / risk taxonomy.",,PROP-EPIC-5,30m,Done,Medium,develo-parity
Task,Property polygon highlight (real cadastre lot),"Switch from zone polygon to BCC property_boundaries_parcel — actual 42.6×21.7m lot.",,PROP-EPIC-5,1h,Done,Medium,develo-parity
Task,Mapbox Satellite Streets basemap,"MapLibre + Mapbox tile token + Esri fallback when token unset.",,PROP-EPIC-5,30m,Done,Medium,develo-parity
Task,Floating per-map legend,"Bottom-right glass card with color swatch + label per module.",,PROP-EPIC-5,30m,Done,Medium,develo-parity
Task,Tighter zoom + polygon smoothing,"~115m half-width zoom + maxAllowableOffset 0.00003 (3m) + line-join round.",,PROP-EPIC-5,30m,Done,Medium,develo-parity
Task,Develo-aligned polygon palette,"Per-module color matching (navy flood / orange overland / cyan storm / magenta heritage / red bushfire / etc).",,PROP-EPIC-5,1h,Done,Medium,develo-parity
Epic,Supabase → Vercel Postgres (Neon) migration,"Migrate persistence layer to Neon HTTP-fetch driver.",PROP-EPIC-6,,2h,Done,Medium,infra
Task,@neondatabase/serverless integration,"Replace Supabase client with Neon driver + refactor all DB calls.",,PROP-EPIC-6,1h,Done,Medium,infra
Task,scripts/migrate.ts (multi-statement workaround),"Split schema.sql by '';'' — Neon prepared statements don't accept multi-command queries.",,PROP-EPIC-6,30m,Done,Medium,infra
Task,Schema rewrite + DATABASE_URL env wiring,"addresses / council_data / reports + paid_at + stripe_session_id columns; .env.local fallback.",,PROP-EPIC-6,30m,Done,Medium,infra
Epic,Stripe Checkout paywall ($29 AUD),"Freemium gating: Flooding free preview, rest paid.",PROP-EPIC-7,,3h,Done,Medium,paywall
Task,lib/stripe.ts + /api/checkout/create-session,"Server-only Stripe client + Checkout Session creation at $29 AUD.",,PROP-EPIC-7,1h,Done,Medium,paywall
Task,Webhook + GET polling fallback,"/api/checkout/webhook signature verification + polling as failsafe.",,PROP-EPIC-7,1h,Done,Medium,paywall
Task,UnlockButton (Apple-gradient CTA),"Client component with redirect to Checkout Session.",,PROP-EPIC-7,30m,Done,Medium,paywall
Task,Free preview gating (Flooding only),"Blur non-Flooding modules when reports.paid_at is null.",,PROP-EPIC-7,30m,Done,Medium,paywall
Epic,Geocoding,"Google + Nominatim provider abstraction.",PROP-EPIC-8,,1.5h,Done,Medium,geocoding
Task,Google Maps + Places Autocomplete,"Server-side geocode + client-side Places suggestions.",,PROP-EPIC-8,30m,Done,Medium,geocoding
Task,Nominatim fallback provider,"Provider abstraction with fallback when Google rate-limited / unavailable.",,PROP-EPIC-8,30m,Done,Medium,geocoding
Task,HTTP referrer restriction debugging,"Server-side calls don't send Referer — set Application restrictions to None.",,PROP-EPIC-8,30m,Done,Medium,geocoding
Epic,Sprint 1 — Noise + Flood Planning + Schools,"Three new modules brings total to 11.",PROP-EPIC-9,,3h,Done,Medium,sprint-1
Task,Noise module (Transport + ANEF),"BCC Transport noise corridor + Aviation ANEF overlays, AS2021 band classification.",,PROP-EPIC-9,1h,Done,Medium,sprint-1
Task,Flood Planning module (River + Creek waterway),"Brisbane River + Creek/waterway flood planning area overlays.",,PROP-EPIC-9,30m,Done,Medium,sprint-1
Task,School Catchments module (QLD DET),"State school catchments grouped by CentreCode → SchoolRow with yearLevels array.",,PROP-EPIC-9,30m,Done,Medium,sprint-1
Task,Wire 3 modules into pipeline / extractor / PDF / display,"db.ts Module union → 11, pipeline.ts Promise.all, module-meta, overlays.ts, anthropic.ts, ModuleSection, report-pdf.",,PROP-EPIC-9,1h,Done,Medium,sprint-1
Epic,Landing refresh + QSpatial easement parity,"Drop prototype copy, add pricing, marquee 11 modules, second easement source.",PROP-EPIC-10,,2h,Done,Medium,polish
Task,Landing page copy refresh,"Remove Prototype / Claude / Supabase / Out-of-scope card. Show 11 modules.",,PROP-EPIC-10,30m,Done,Medium,polish
Task,11-module marquee animation,"CSS keyframes + fade mask + hover-pause + prefers-reduced-motion respected.",,PROP-EPIC-10,30m,Done,Medium,polish
Task,Pricing section ($29 AUD + Free preview),"Two-card layout with gradient paid card + bulk-pricing mailto.",,PROP-EPIC-10,30m,Done,Medium,polish
Task,QSpatial DCDB easement parity,"Add layer 9 PlanningCadastre Easement Parcels — same source as Develo. Polygon classify + per-module color.",,PROP-EPIC-10,30m,Done,Medium,polish
Epic,Bug fixes & polish,"Regressions and infra one-offs.",PROP-EPIC-11,,1.5h,Done,Medium,bugfix
Task,Map blank after legend refactor,"Container ref moved to sized div — was breaking MapLibre canvas mount.",,PROP-EPIC-11,30m,Done,Medium,bugfix
Task,Property polygon = zone area regression,"Used Zoning_opendata polygon (358×352m zone) instead of actual lot — switched to BCC parcel layer.",,PROP-EPIC-11,15m,Done,Medium,bugfix
Task,Historic flood layer point miss,"Geocoded street center missed by ~50m — bumped bufferDegrees to 0.00045.",,PROP-EPIC-11,15m,Done,Medium,bugfix
Task,Neon multi-statement prepared query error,"""cannot insert multiple commands into a prepared statement"" — split schema runner.",,PROP-EPIC-11,15m,Done,Medium,bugfix
Task,Mapbox account setup + token + env,"Card registration + token issuance + Vercel env Sensitive flag debugging.",,PROP-EPIC-11,30m,Done,Medium,infra
